lgd_state_id,lgd_district_id,inltmigrantstotal,inltmigrationrate,inltmigrationshare,instmigrantstotal,instmigrationrate,instmigrationshare,outltmigrantstotal,outltmigrationrate,outltmigrationshare,outstmigrantstotal,outstmigrationrate,outstmigrationshare
03,032,8185802,.0051059001,.0010115657769157,10900000,.0038363,.000572745512923,8185802,.0084348004,.0016710311270515,10900000,.0015291,.0002282655722058
03,033,8185802,.0143058,.0027727999258786,10900000,.0132438,.0019344999454916,8185802,.0085463999,.0016565000405535,10900000,.0003629,.0000529999997525
03,034,8185802,.0113102,.0030308999121189,10900000,.01495,.0030191000550985,8185802,.0077979998,.0020896999631077,10900000,.0056575001,.0011424999684095
03,035,8185802,.011762,.0011712999548763,10900000,.017330199,.0013006000081077,8185802,.0064793001,.0006452000234276,10900000,.00060269999,.0000451999985671
03,036,8185802,.0101745,.0043486999347806,10900000,.043625701,.0140517996624112,8185802,.0064651002,.0027632999699563,10900000,.0155593,.0050117000937462
03,037,8185802,.0114401,.0010758000425994,10900000,.0079752002,.0005651999963447,8185802,.0079616001,.0007486999966204,10900000,0,0
03,038,8185802,.0072328001,.0008798000053503,10900000,.0046051,.0004221000126563,8185802,.0058789002,.0007150999736041,10900000,.0053639999,.0004917000187561
03,039,8185802,.0086185001,.000949600012973,10900000,.0055109002,.0004575999919325,8185802,.0065549002,.000722200027667,10900000,.0146334,.001215000054799
03,040,8185802,.011161,.0008349000127055,10900000,.0135846,.0007658000104129,8185802,.0062433998,.0004670000053011,10900000,0,0
03,041,8185802,.0120405,.0027884000446647,10900000,.0098555004,.0017199999419972,8185802,.0090869004,.0021043999586254,10900000,.00026,.00004540000009
03,042,8185802,.032890201,.0027507999911904,10900000,.015714999,.0009904999751598,8185802,.0068558999,.0005734000005759,10900000,.0023733999,.0001496000040788
03,043,8185802,.0072647999,.0014689000090584,10900000,.00514,.0007832000264898,8185802,.0035967,.0007273000082932,10900000,.001314,.0002001999964705
03,605,8185802,.020191399,.0014689000090584,10900000,.0142859,.0007832000264898,8185802,.0099964999,.0007273000082932,10900000,.0036520001,.0002001999964705
03,608,8185802,.0226391,.0027507999911904,10900000,.010817,.0009904999751598,8185802,.0047191,.0005734000005759,10900000,.0016337,.0001496000040788
03,609,8185802,.0074832998,.0010234999936074,10900000,.0069785998,.000719300005585,8185802,.0088681998,.00121300003957,10900000,.00040610001,.0000418999989051
03,651,8185802,.0086877001,.0011291250503162,10900000,.0089346999,.0008750915929643,8185802,.0070087002,.0009109026779529,10900000,.00057700003,.0000565217923644
03,662,8185802,.0051059001,.0004220341961818,10900000,.0038363,.0002389544977492,8185802,.0084348004,.0006971689776321,10900000,.0015291,.0000952344172572
04,044,8185802,.027757799,.0035790000110865,10900000,.069231801,.0067270002327859,8185802,.018601499,.0023984001018107,10900000,.000033600001,3.26999997924e-06
05,045,8185802,.0052288999,.0003976000007242,10900000,.0060659,.0003475999983493,8185802,.0200023,.001521100057289,10900000,.0055521,.0003182000073139
05,046,8185802,.0032859,.0001043000011123,10900000,.0037744001,.0000902999963728,8185802,.0100475,.0003190000134055,10900000,.0038769001,.0000928000008571
05,047,8185802,.0109498,.000523799972143,10900000,.0145038,.0005229000234976,8185802,.0122555,.0005862999823876,10900000,.00049449998,.0000177999991138
05,048,8185802,.0075987,.0002410000015516,10900000,.0108569,.0002594999969006,8185802,.0065917,.0002091000060318,10900000,.00023419999,5.59999989491e-06
05,049,8185802,.0228102,.0047279000282288,10900000,.011449,.0017882999964058,8185802,.0062926002,.0013043000362813,10900000,.0017177,.0002683000057004
05,050,8185802,.015839299,.0036579000297934,10900000,.0054231002,.0009438000270166,8185802,.0042412998,.0009795000078157,10900000,.0013641,.0002374000032432
05,051,8185802,.016905401,.0019714999943972,10900000,.0167704,.0014738000463694,8185802,.0083913999,.0009786000009626,10900000,.0056528002,.0004967999993823
05,052,8185802,.0088175004,.0007402999908663,10900000,.0071299998,.000451100000646,8185802,.0237673,.0019954999443144,10900000,0,0
